title,date,link,tag
Bitcoin App Bottle Pay Shuts Down Over Impending EU Money-Laundering Laws,"Dec 13, 2019",/web/20191231154441/https://www.coindesk.com/bitcoin-app-bottle-pay-shuts-down-over-impending-eu-money-laundering-laws,Regulation
Netherlands Plans to Punish Crypto Scammers With Up to 6 Years in Jail,"Dec 12, 2019",/web/20191231154441/https://www.coindesk.com/netherlands-plans-to-punish-crypto-scammers-with-up-to-6-years-in-jail,Crime
"SEC Taking ‘Measured’ Approach to Digital Asset Regulation, Jay Clayton Tells Senate Committee","Dec 11, 2019",/web/20191231154441/https://www.coindesk.com/sec-taking-measured-approach-to-digital-asset-regulation-jay-clayton-tells-senate-committee,Regulation
China’s SEC May Soon Have a Crypto-Savvy Department Chief: Report,"Dec 11, 2019",/web/20191231154441/https://www.coindesk.com/chinas-sec-may-soon-have-a-crypto-savvy-department-chief-report,Regulation
FinCEN Sees Jump in Crypto-Related Suspicious Activity Reports,"Dec 10, 2019",/web/20191231154441/https://www.coindesk.com/fincen-sees-jump-in-crypto-related-suspicious-activity-reports,FinCEN
"Mnuchin ‘Fine’ With Libra Launch, But Crypto Project Must ‘Fully’ Comply With AML Rules","Dec 6, 2019",/web/20191231154441/https://www.coindesk.com/mnuchin-fine-with-libra-launch-but-crypto-project-must-fully-comply-with-aml-rules,Regulation
"Top US Financial Regulators Urge Monitoring of Digital Assets, Stablecoins","Dec 5, 2019",/web/20191231154441/https://www.coindesk.com/top-us-financial-regulators-urge-monitoring-of-digital-assets-stablecoins,Regulation
The SEC Has a New Chief Crypto Cop,"Dec 3, 2019",/web/20191231154441/https://www.coindesk.com/the-sec-has-a-new-chief-crypto-cop,Regulation
Sri Lanka’s Central Bank Calls for Blockchain-Based KYC Proposals,"Dec 2, 2019",/web/20191231154441/https://www.coindesk.com/sri-lankas-central-bank-calls-for-blockchain-based-kyc-proposals,Regulation
New York Governor Proposes Giving Financial Watchdog More Teeth,"Jan 9, 2020",/web/20200112060319/https://www.coindesk.com/new-york-governor-proposes-giving-financial-watchdog-more-teeth,Regulation
Former Bakkt CEO to Help Oversee CFTC in Congress,"Jan 8, 2020",/web/20200112060319/https://www.coindesk.com/former-bakkt-ceo-to-help-oversee-cftc-in-congress,Regulation
"Law Enforcement Data Requests Rose by Almost 50 Percent in 2019, Says Kraken","Jan 7, 2020",/web/20200112060319/https://www.coindesk.com/law-enforcement-data-requests-rose-by-almost-50-in-2019-says-kraken,Exchanges
Gemini’s Head of Risk on How Crypto Beats Traditional Finance,"Jan 7, 2020",/web/20200112060319/https://www.coindesk.com/geminis-head-of-risk-on-how-crypto-beats-traditional-finance,Year in Review 2019
South Korean Presidential Committee Wants to Bring Crypto Into Mainstream Finance,"Jan 6, 2020",/web/20200112060319/https://www.coindesk.com/south-korean-presidential-commission-wants-to-bring-crypto-into-mainstream-finance,Derivatives
Closer Look at SEC ‘Accredited Investor’ Revamp Suggests Little Will Change,"Jan 6, 2020",/web/20200112060319/https://www.coindesk.com/closer-look-at-sec-accredited-investor-revamp-suggests-little-will-change,SEC
Crypto Custodians Grapple With Germany’s New Rules,"Dec 26, 2019",/web/20200112060319/https://www.coindesk.com/crypto-custodians-grapple-with-germanys-new-rules,Germany
Crypto Firms Can Now Apply for a License in France,"Dec 26, 2019",/web/20200112060319/https://www.coindesk.com/crypto-firms-can-now-apply-for-a-license-in-france,Regulation
French Financial Watchdog Approves First ICO Under New ‘Visa’ Scheme,"Dec 20, 2019",/web/20200112060319/https://www.coindesk.com/french-financial-watchdog-approves-first-ico-under-new-visa-scheme,France
European Crypto Firms Brace for Higher Costs as AMLD5 Takes Effect,"Jan 10, 2020",/web/20200116013420/https://www.coindesk.com/european-crypto-firms-brace-for-higher-costs-as-amld5-takes-effect,Regulation
ESMA Wants to Create ‘Sound Legal Framework’ for Cryptocurrencies in 2020,"Jan 9, 2020",/web/20200116013420/https://www.coindesk.com/esma-wants-to-create-sound-legal-framework-for-cryptocurrencies-in-2020,Regulation
New York Governor Proposes Giving Financial Watchdog More Teeth,"Jan 9, 2020",/web/20200116013420/https://www.coindesk.com/new-york-governor-proposes-giving-financial-watchdog-more-teeth,Regulation
Former Bakkt CEO to Help Oversee CFTC in Congress,"Jan 8, 2020",/web/20200116013420/https://www.coindesk.com/former-bakkt-ceo-to-help-oversee-cftc-in-congress,Regulation
