year_month,title,link,snippet
2015-09,UK Shadow Minister Outlines Bitcoin's Potential for Disruption,https://web.archive.org/web/20150908062252/http://www.coindesk.com/uk-shadow-minister-outlines-bitcoins-potential-disruption/,The UK's shadow minister for digital government believes bitcoin could take power away from big banks and put it back in the hands of consumers.
2015-09,Bank of Canada Keeping 'Close Eye' on Digital Currencies,https://web.archive.org/web/20150908062252/http://www.coindesk.com/bank-canada-keeping-close-eye-digital-currencies/,The Bank of Canada says it's “keeping a close eye” on risks posed by new forms of electronic money.
2015-09,French Regulators Focus On Bitcoin's Risks Instead of Its Rewards,https://web.archive.org/web/20150908062252/http://www.coindesk.com/french-regulators-focus-bitcoins-risks-instead-rewards/,A recent conference in France made it clear that the country's regulators are more skeptical than optimistic about bitcoin.
2015-09,"Core Devs, Bankers and the FBI: What Not to Miss at Consensus 2015",https://web.archive.org/web/20150908062252/http://www.coindesk.com/core-devs-bankers-and-the-fbi-what-not-to-miss-at-consensus-2015/,
2015-09,Why Bitcoin Creates a Voluntary Tax System,https://web.archive.org/web/20150908062252/http://www.coindesk.com/why-bitcoin-creates-a-voluntary-tax-system/,
2015-09,Why the Future of Bitcoin Lies in Europe,https://web.archive.org/web/20150908062252/http://www.coindesk.com/why-the-future-of-bitcoin-lies-in-europe/,
2015-09,Bitcoin in the Headlines: Queen of the Blockchain,https://web.archive.org/web/20150908062252/http://www.coindesk.com/bitcoin-in-the-headlines-queen-of-the-blockchain/,
2015-09,Sync.com Now Accepts Bitcoin For Encrypted Cloud Storage and File Sharing,https://web.archive.org/web/20150908062252/http://www.coindesk.com/press-releases/sync-com-accepts-bitcoin-encrypted-cloud-storage/,
2015-09,Ex-Coinbase Compliance Exec: Basic Questions Still Hold Back Bitcoin,https://web.archive.org/web/20150907184618/http://www.coindesk.com/ex-coinbase-compliance-officer-basic-questions-still-hold-back-bitcoin/,CoinDesk speaks to ex-Coinbase CCO Martine Niejadlik regarding the state of compliance and regulation in the digital currency industry.
2015-09,Canadian Senate Panel Calls for 'Light Touch' Bitcoin Regulation,https://web.archive.org/web/20150907184618/http://www.coindesk.com/canadian-senate-panel-calls-for-light-touch-bitcoin-regulation/,"A report published by the Canadian Standing Senate Committee on Banking, Trade and Commerce has called for a regulatory ""light touch"" on bitcoin."
2015-09,Bitcoin in the Headlines: US Teen Sparks ISIL Media Frenzy,https://web.archive.org/web/20150907184618/http://www.coindesk.com/bitcoin-in-the-headlines-us-teen-sparks-isil-media-frenzy/,"Bitcoin has been scrutinised in the past, but this week's criticism took a rather unexpected – and perhaps questionable – sense of humour."
2015-09,Russia's Central Bank Meets With Finance Reps for Bitcoin Talks,https://web.archive.org/web/20150907184618/http://www.coindesk.com/russias-central-bank-meets-with-finance-reps-for-bitcoin-talks/,"Russia's central bank will meet representatives from the financial markets to discuss bitcoin regulation next week, a local news source claims."
2015-09,Bitcoin Supporters Should Take a Page Out of the Uber Playbook,https://web.archive.org/web/20150907184618/http://www.coindesk.com/bitcoin-supporters-should-follow-uber-playbook/,Angel investor Joe Maristela explores what people in the bitcoin space can learn from regulatory developments in the Philippines surrounding Uber.
2015-09,Bitcoin Regulation Bill Approved by Californian State Assembly,https://web.archive.org/web/20150907184618/http://www.coindesk.com/bitcoin-regulation-bill-approved-by-californian-state-assembly/,California's State Assembly has approved a bill calling for digital currency comapnies to be regulated in a similar way to banks.
2015-09,Final BitLicense Proves Divisive Milestone in US Bitcoin Regulation,https://web.archive.org/web/20150907184618/http://www.coindesk.com/bitlicense-divisive-milestone-bitcoin-regulation/,"With the passage of New York's final BitLicense proposal, CoinDesk seeks responses from the digital currency community on the law and its impact."
2015-09,Inside New Jersey's Proposed Digital Currency Jobs Creation Act,https://web.archive.org/web/20150907184618/http://www.coindesk.com/new-jersey-digital-currency-job-creation-act/,A bill submitted to the New Jersey legislature proposes tax incentives for digital currency businesses that support local jobs.
2015-09,"Core Devs, Bankers and the FBI: What Not to Miss at Consensus 2015",https://web.archive.org/web/20150907184618/http://www.coindesk.com/core-devs-bankers-and-the-fbi-what-not-to-miss-at-consensus-2015/,
2015-09,Why Bitcoin Creates a Voluntary Tax System,https://web.archive.org/web/20150907184618/http://www.coindesk.com/why-bitcoin-creates-a-voluntary-tax-system/,
2015-09,Why the Future of Bitcoin Lies in Europe,https://web.archive.org/web/20150907184618/http://www.coindesk.com/why-the-future-of-bitcoin-lies-in-europe/,
2015-09,Bitcoin in the Headlines: Queen of the Blockchain,https://web.archive.org/web/20150907184618/http://www.coindesk.com/bitcoin-in-the-headlines-queen-of-the-blockchain/,
2015-09,Sync.com Now Accepts Bitcoin For Encrypted Cloud Storage and File Sharing,https://web.archive.org/web/20150907184618/http://www.coindesk.com/press-releases/sync-com-accepts-bitcoin-encrypted-cloud-storage/,
2015-09,Accenture: UK Government Should Regulate Bitcoin Wallets,https://web.archive.org/web/20150908050724/http://www.coindesk.com/accenture-uk-government-should-regulate-bitcoin-wallets/,"The UK government should apply regulation to bitcoin wallets, multinational management consulting company Accenture has advised."
2015-09,Will the New UK Government Create a Bitcoin Hub?,https://web.archive.org/web/20150908050724/http://www.coindesk.com/will-the-new-uk-government-create-a-bitcoin-hub/,What might the new UK government's plans for bitcoin regulation look like and is it capable of creating a bitcoin hub?
2015-09,Bitcoin Regulation Remains on Agenda for California Agency,https://web.archive.org/web/20150908050724/http://www.coindesk.com/bitcoin-regulation-remains-agenda-california-agency/,California's money transmitter regulator released conflicting statements today regarding how bitcoin regulation will move forward in the state.
2015-09,North Carolina House Seeks Oversight of Bitcoin Activities,https://web.archive.org/web/20150908050724/http://www.coindesk.com/north-carolina-representatives-pass-bitcoin-bill-by-wide-margin/,A bill calling for specific regulation of digital currencies has been approved by the North Carolina House of Representatives.
2015-09,ItBit CEO: Bitcoin Can't Circumvent the Financial System,https://web.archive.org/web/20150908050724/http://www.coindesk.com/itbit-ceo-bitcoin-circumvent-financial-system/,ItBit CEO Charles Cascarilla discusses his company's market strategy following its $25m fundraising and US market launch.
2015-09,Connecticut Bill Seeks Additional Requirements for Bitcoin MSBs,https://web.archive.org/web/20150908050724/http://www.coindesk.com/connecticut-bill-seeks-additional-requirements-for-bitcoin-msbs/,The Connecticut House of Representatives has passed a bill that would impose additional restrictions on MSBs that offer digital services.
2015-09,Spanish Bitcoin Community Celebrates Bitcoin's VAT Exemption,https://web.archive.org/web/20150908050724/http://www.coindesk.com/spanish-bitcoin-community-celebrate-bitcoins-vat-exemption/,Spain's bitcoin community is celebrating following confirmation that the cryptocurrency is exempt from Value Added Tax (VAT) in the country.
2015-09,EU Securities Watchdog Calls for Information on Blockchain Tech,https://web.archive.org/web/20150908050724/http://www.coindesk.com/eu-securities-watchdog-calls-for-information-on-blockchain-tech/,"The EU's securities watchdog has issued a call for evidence to ascertain if and when blockchain technology can ""enter the financial mainstream""."
2015-09,Lawsky: BitLicense Will Be Finalized By End of May,https://web.archive.org/web/20150908050724/http://www.coindesk.com/lawsky-bitlicense-will-be-finalized-by-end-of-may/,
2015-09,"Core Devs, Bankers and the FBI: What Not to Miss at Consensus 2015",https://web.archive.org/web/20150908050724/http://www.coindesk.com/core-devs-bankers-and-the-fbi-what-not-to-miss-at-consensus-2015/,
2015-09,Why Bitcoin Creates a Voluntary Tax System,https://web.archive.org/web/20150908050724/http://www.coindesk.com/why-bitcoin-creates-a-voluntary-tax-system/,
2015-09,Why the Future of Bitcoin Lies in Europe,https://web.archive.org/web/20150908050724/http://www.coindesk.com/why-the-future-of-bitcoin-lies-in-europe/,
2015-09,Bitcoin in the Headlines: Queen of the Blockchain,https://web.archive.org/web/20150908050724/http://www.coindesk.com/bitcoin-in-the-headlines-queen-of-the-blockchain/,
2015-09,Sync.com Now Accepts Bitcoin For Encrypted Cloud Storage and File Sharing,https://web.archive.org/web/20150908050724/http://www.coindesk.com/press-releases/sync-com-accepts-bitcoin-encrypted-cloud-storage/,
2015-09,Lawsky: BitLicense Will Be Finalized By End of May,https://web.archive.org/web/20150910145207/http://www.coindesk.com/lawsky-bitlicense-will-be-finalized-by-end-of-may/,More than 70 digital currency industry businesses and execs are backing a petition meant to ease onerous components of New York's BitLicense.
2015-09,Bitcoin Advocates Back Petition for BitLicense Safe Harbor Provision,https://web.archive.org/web/20150910145207/http://www.coindesk.com/bitcoin-petition-bitlicense-safe-harbor/,More than 70 digital currency industry businesses and execs are backing a petition meant to ease onerous components of New York's BitLicense.
