year_month,title,link,snippet,event_labels
2014-01,CoinDesk Bitcoin Price Index,https://web.archive.org/web/20140101025205/http://www.coindesk.com/,"Dec 31, 2013 at 20:18|Daniel Cawrey New York City-based Fortress Investment Group, a publicly traded company, is reportedly planning to launch a bitcoin investment fund.",exchange
2020-09,Page not found.,https://web.archive.org/web/20200901174929/https://www.coindesk.com/%E2%80%8B%E2%80%8Bmarket-mania-is-unavoidable-but-crypto-must-get-past-it/?utm_source=dlvr.it&utm_medium=twitter,"Sign up for our newsletter By signing up, you will receive emails about CoinDesk products and you agree to ourterms & conditionsandprivacy policy","regulation, government"
2020-08,0x,https://web.archive.org/web/20200827065008/https://www.coindesk.com/0x,"Will Warren and Amir Bandeali co-founded 0x in 2016 with the intention of providing a standard protocol on the Ethereum blockchain that allows any Ethereum token to be traded. 0x enables the peer-to-peer exchange of Ethereum-based tokens and is often referred to as a decentralized exchange (DEX). The 0x platform provides a means of exchanging a variety of tokenized assets such as stocks, gold, real estate and video game items, seeking to promote interoperability between decentralized applications (dapps). 0x’s own ethereum token (ZRX) is used to pay trading fees to relayers. ZRX token owners can influence the blockchain’s governance — giving them the authority, proportional to their holdings, to provide input as to how the protocol should be developed over time. 0x has capped the ZRX supply at 1 billion tokens.","regulation, exchange, government"
2020-08,0x Price Hits Two-Year High on Hopes Falling Ethereum Fees Will Spur DEX Trading,https://web.archive.org/web/20200821134956/https://www.coindesk.com/0x-price-eth-fees-dex-activity,"(CoinDesk) Hopes the bottleneck on the Ethereum blockchain might now ease have sent tokens associated with decentralized exchanges – known as DEX tokens – soaring, with the token of the 0x exchange (ZRX) rallying to a two-year high on Friday.",price
2020-08,0x Price Hits Two-Year High on Hopes Falling Ethereum Fees Will Spur DEX Trading,https://web.archive.org/web/20200822234933/https://www.coindesk.com/0x-price-eth-fees-dex-activity?amp=1,"(CoinDesk) Hopes the bottleneck on the Ethereum blockchain might now ease have sent tokens associated with decentralized exchanges – known as DEX tokens – soaring, with the token of the 0x exchange (ZRX) rallying to a two-year high on Friday.",price
2020-11,Decentralized Exchange Startup 0x Raised $775K in SAFT Sale Last Year,https://web.archive.org/web/20201109013452/https://www.coindesk.com/0x-startup-775k-saft-sale-last-year,"Correction (16th April 5 p.m. EST):An earlier version of this article inaccurately reported that the $775k was drawn from a recently conducted SAFT sale. According to 0x, the funds were sourced from a SAFT sale conducted last year with investors. This article has been updated to amend the inaccurate information.",price
2019-05,0x Teams With StarkWare to Bring Speed to Decentralized Exchanges,https://web.archive.org/web/20190527185914/https://www.coindesk.com/0x-teams-with-starkware-to-bring-speed-to-decentralized-exchanges,"A cryptographic solution called zero-knowledge proofs (ZKP) could help notoriously slow decentralized exchanges (DEXs) reach speeds comparable to more traditional platforms. San Francisco-based DEX startup 0x is partnering with the Israeli software-as-service companyStarkWareto test a ZKP solution called StarkDEX, which can process roughly 500 transactions per second.","regulation, adoption"
2019-05,0x Teams With StarkWare to Bring Speed to Decentralized Exchanges,https://web.archive.org/web/20190527185911/https://www.coindesk.com/0x-teams-with-starkware-to-bring-speed-to-decentralized-exchanges?amp,"A cryptographic solution called zero-knowledge proofs (ZKP) could help notoriously slow decentralized exchanges (DEXs) reach speeds comparable to more traditional platforms. San Francisco-based DEX startup 0x is partnering with the Israeli software-as-service companyStarkWareto test a ZKP solution called StarkDEX, which can process roughly 500 transactions per second.","regulation, adoption"
2019-05,0x Teams With StarkWare to Bring Speed to Decentralized Exchanges,https://web.archive.org/web/20190528125211/https://www.coindesk.com/0x-teams-with-starkware-to-bring-speed-to-decentralized-exchanges?utm_source=twitter&utm_medium=coindesk&utm_term=&utm_content=&utm_campaign=Organic%20,"A cryptographic solution called zero-knowledge proofs (ZKP) could help notoriously slow decentralized exchanges (DEXs) reach speeds comparable to more traditional platforms. San Francisco-based DEX startup 0x is partnering with the Israeli software-as-service companyStarkWareto test a ZKP solution called StarkDEX, which can process roughly 500 transactions per second.","regulation, adoption"
2019-06,0x Teams With StarkWare to Bring Speed to Decentralized Exchanges,https://web.archive.org/web/20190609084357/https://www.coindesk.com/0x-teams-with-starkware-to-bring-speed-to-decentralized-exchanges?utm_source=dlvr.it&utm_medium=twitter,"A cryptographic solution called zero-knowledge proofs (ZKP) could help notoriously slow decentralized exchanges (DEXs) reach speeds comparable to more traditional platforms. San Francisco-based DEX startup 0x is partnering with the Israeli software-as-service companyStarkWareto test a ZKP solution called StarkDEX, which can process roughly 500 transactions per second.","regulation, adoption"
2020-09,0x,https://web.archive.org/web/20200925135406/https://www.coindesk.com/0x?amp=1,"Will Warren and Amir Bandeali co-founded 0x in 2016 with the intention of providing a standard protocol on the Ethereum blockchain that allows any Ethereum token to be traded. 0x enables the peer-to-peer exchange of Ethereum-based tokens and is often referred to as a decentralized exchange (DEX). The 0x platform provides a means of exchanging a variety of tokenized assets such as stocks, gold, real estate and video game items, seeking to promote interoperability between decentralized applications (dapps). 0x’s own ethereum token (ZRX) is used to pay trading fees to relayers. ZRX token owners can influence the blockchain’s governance — giving them the authority, proportional to their holdings, to provide input as to how the protocol should be developed over time. 0x has capped the ZRX supply at 1 billion tokens.","regulation, exchange, government"
2020-07,"$1.4B in ‘High-Risk’ Crypto Flowed Onto Exchanges in H1 2020, Analysis Firm Says",https://web.archive.org/web/20200717045854/https://www.coindesk.com/1-4b-high-risk-cryptos-exchanges,"(AppleZoomZoom/Shutterstock) Over $1.4 billion-worth of cryptocurrency tainted by illicit use moved onto global exchanges from January to June, according to blockchain analysis firm PeckShield.",regulation
2020-07,"$1.4B in ‘High-Risk’ Crypto Flowed Onto Exchanges in H1 2020, Analysis Firm Says",https://web.archive.org/web/20200717071722/https://www.coindesk.com/1-4b-high-risk-cryptos-exchanges?amp=1,"(AppleZoomZoom/Shutterstock) Over $1.4 billion-worth of cryptocurrency tainted by illicit use moved onto global exchanges from January to June, according to blockchain analysis firm PeckShield.",regulation
2017-09,Related Stories,https://web.archive.org/web/20170904164240/https://www.coindesk.com/1-6-billion-all-time-ico-funding-climbs-as-record-500-million-invested-in-july/,"Aug 4, 2017 at 13:00UTC byChuan Tian Blockchain projects have raised a total of $1.67 billion via initial coin offerings (ICOs) so far – a figure that was bolstered by a record-breaking month of July, according to data from theCoinDesk ICO Tracker.",regulation
2017-12,$1.6 Billion: All-Time ICO Funding Climbs as Record $500 Million Invested in July,https://web.archive.org/web/20171212203147/https://www.coindesk.com/1-6-billion-all-time-ico-funding-climbs-as-record-500-million-invested-in-july/amp/,"Blockchain projects have raised a total of $1.67 billion via initial coin offerings (ICOs) so far – a figure that was bolstered by a record-breaking month of July, according to data from theCoinDesk ICO Tracker. Incorporating data from 2014 to 2017, the newly unveiled data explorer showcases the rapid growth observed so far in the nascent sector. And should ICOs continue their torrid pace, they are likely to even eclipse all-timeventure capital investmentsin August.","regulation, conference"
2017-08,Related Stories,https://web.archive.org/web/20170804125845/https://www.coindesk.com/1-6-billion-all-time-ico-funding-climbs-as-record-500-million-invested-in-july/?utm_content=buffer60389&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,"Aug 4, 2017 at 13:00UTC byChuan Tian Blockchain projects have raised a total of $1.67 billion via initial coin offerings (ICOs) so far – a figure that was bolstered by a record-breaking month of July, according to data from theCoinDesk ICO Tracker.",regulation
2018-01,1-800-Flowers.com Adds Bitcoin Payments in Marketing Drive,https://web.archive.org/web/20180127131737/https://www.coindesk.com/1-800-flowers-com-latest-retailer-add-bitcoin-payments/amp/,"New York-based floral and gift e-tailer 1-800-Flowers.com has announced that it is now accepting bitcoin through a partnership with Coinbase. With the decision, 1-800-Flowers becomes one of the largest merchants to enter the bitcoin space, boasting$735m in total net revenuein 2013.",exchange
2020-11,1-800-Flowers.com Adds Bitcoin Payments in Marketing Drive,https://web.archive.org/web/20201111230655/https://www.coindesk.com/1-800-flowers-com-latest-retailer-add-bitcoin-payments/?utm_source=feedburner&amp;utm_medium=feed&amp;utm_campaign=Feed%3A+CoinDesk+%28CoinDesk+-+The+Voice+of+Digital+Currency%29,"New York-based floral and gift e-tailer 1-800-Flowers.com has announced that it is now accepting bitcoin through a partnership with Coinbase. With the decision, 1-800-Flowers becomes one of the largest merchants to enter the bitcoin space, boasting$735m in total net revenuein 2013.",exchange
2015-05,1-800-Flowers.com Adds Bitcoin Payments in Marketing Drive,https://web.archive.org/web/20150530145637/http://www.coindesk.com/1-800-flowers-com-latest-retailer-add-bitcoin-payments/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+CoinDesk+%28CoinDesk+-+The+Voice+of+Digital+Currency%29,"Last updated onMay 30, 2015 at 15:56 BST. Based on the following values: New York-based floral and gift e-tailer 1-800-Flowers.com has announced that it is now accepting bitcoin through a partnership with Coinbase.",exchange
2018-07,China's $1 Billion Blockchain Fund Denies Report of Government's Pull-Out,https://web.archive.org/web/20180727073316/https://www.coindesk.com/1-billion-blockchain-fund-denies-report-of-governments-pull-out/,A $1 billion Chinese blockchain fund launched in April has denied a report that local government will pull out its originally planned funding support following a recently leaked recording involving a former partner of the fund. A newsreportfrom China Business Journal on Thursday said the Hangzhou city government has required Xiong'An (or Grandshores) Blockchain Fund to stop promoting itself by using the name as a government-backed fund.,"regulation, exchange, adoption, government"
2018-07,CoinDesk,https://web.archive.org/web/20180727073309/https://www.coindesk.com/1-billion-blockchain-fund-denies-report-of-governments-pull-out/amp/,A $1 billion Chinese blockchain fund launched in April has denied a report that local government will pull out its originally planned funding support following a recently leaked recording involving a former partner of the fund. A newsreportfrom China Business Journal on Thursday said the Hangzhou city government has required Xiong'An (or Grandshores) Blockchain Fund to stop promoting itself by using the name as a government-backed fund.,"regulation, exchange, adoption, government"
2019-05,$1 Billion Chinese Blockchain Fund Denies Report of Government Pull-Out,https://web.archive.org/web/20190512212612/https://www.coindesk.com/1-billion-blockchain-fund-denies-report-of-governments-pull-out?amp,"A $1 billion Chinese blockchain fund launched in April has denied a report that the local government will withdraw its financial support following the leak of a recording involving a former partner of the fund. The newsreportin question, published by China Business Journal on Thursday, stated that the Hangzhou city government has demanded that the Xiong’An (or Grand Shores) Blockchain Fund stop promoting itself by describing itself as a government-backed fund. The Journal added that the local government has also decided that it will not contribute further capital to the project.","regulation, exchange, government"
2018-07,$1 Billion Chinese Blockchain Fund Denies Report of Government Pull-Out,https://web.archive.org/web/20180727073808/https://www.coindesk.com/1-billion-blockchain-fund-denies-report-of-governments-pull-out/?utm_source=dlvr.it&utm_medium=twitter,"A $1 billion Chinese blockchain fund launched in April has denied a report that the local government will withdraw its financial support following the leak of a recording involving a former partner of the fund. The newsreportin question, published by China Business Journal on Thursday, stated that the Hangzhou city government has demanded that the Xiong'An (or Grand Shores) Blockchain Fund stop promoting itself by describing itself as a government-backed fund. The Journal added that the local government has also decided that it will not contribute further capital to the project.","regulation, exchange, government"
2018-09,$1 Billion Blockchain Fund Founders Plan Japanese Yen Stablecoin,https://web.archive.org/web/20180918135651/https://www.coindesk.com/1-billion-blockchain-fund-founders-plan-japanese-yen-stablecoin/,"Founding partners of the $1 billion blockchain fund backed by the government of the Chinese city of Hangzhou are planning to roll out a Japanese yen-pegged stablecoin. Yao Yongjie, one of the founding partners of the Xiong'An (Grandshores) Blockchain Fund, said the work has already started on the project and that the team hopes to launch the stablecoin by the end of this year or early 2019, South China Morning Postreportedon Tuesday.","regulation, exchange, adoption, government"
2018-09,$1 Billion Blockchain Fund Founders Plan Japanese Yen Stablecoin,https://web.archive.org/web/20180918135512/https://www.coindesk.com/1-billion-blockchain-fund-founders-plan-japanese-yen-stablecoin/amp/,"Founding partners of the $1 billion blockchain fund backed by the government of the Chinese city of Hangzhou are planning to roll out a Japanese yen-pegged stablecoin. Yao Yongjie, one of the founding partners of the Xiong'An (Grandshores) Blockchain Fund, said the work has already started on the project and that the team hopes to launch the stablecoin by the end of this year or early 2019, South China Morning Postreportedon Tuesday.","regulation, exchange, adoption, government"
2018-09,$1 Billion Blockchain Fund Founders Plan Japanese Yen Stablecoin,https://web.archive.org/web/20180918155319/https://www.coindesk.com/1-billion-blockchain-fund-founders-plan-japanese-yen-stablecoin/amp/?utm_campaign=cryptocontrol.io&utm_medium=cryptocontrol_api&utm_source=cryptocontrol.io,"Founding partners of the $1 billion blockchain fund backed by the government of the Chinese city of Hangzhou are planning to roll out a Japanese yen-pegged stablecoin. Yao Yongjie, one of the founding partners of the Xiong'An (Grandshores) Blockchain Fund, said the work has already started on the project and that the team hopes to launch the stablecoin by the end of this year or early 2019, South China Morning Postreportedon Tuesday.","regulation, exchange, adoption, government"
2020-11,$1 Billion Blockchain Fund Founders Plan Japanese Yen Stablecoin,https://web.archive.org/web/20201109043407/https://www.coindesk.com/1-billion-blockchain-fund-founders-plan-japanese-yen-stablecoin?amp=1&__twitter_impression=true,"Founding partners of the $1 billion blockchain fund backed by the government of the Chinese city of Hangzhou are planning to roll out a Japanese yen-pegged stablecoin. Yao Yongjie, one of the founding partners of the Xiong’An (Grandshores) Blockchain Fund, said the work has already started on the project and that the team hopes to launch the stablecoin by the end of this year or early 2019, South China Morning Postreportedon Tuesday.","regulation, exchange, adoption, government"
2018-09,$1 Billion Blockchain Fund Founders Plan Japanese Yen Stablecoin,https://web.archive.org/web/20180930221702/https://www.coindesk.com/1-billion-blockchain-fund-founders-plan-japanese-yen-stablecoin/?ajax=parsely,"Founding partners of the $1 billion blockchain fund backed by the government of the Chinese city of Hangzhou are planning to roll out a Japanese yen-pegged stablecoin. Yao Yongjie, one of the founding partners of the Xiong'An (Grandshores) Blockchain Fund, said the work has already started on the project and that the team hopes to launch the stablecoin by the end of this year or early 2019, South China Morning Postreportedon Tuesday.","regulation, exchange, adoption, government"
2018-04,$1 Billion Blockchain Fund Launches with Chinese Government Backing,https://web.archive.org/web/20180409134952/https://www.coindesk.com/1-billion-blockchain-fund-launches-with-chinese-government-backing/,"A new Chinese blockchain fund has $1.6 billion available to invest in innovative startups - 30 percent of which is backed by a city government. Dubbed Xiong'An Global Blockchain Innovation Fund, the new initiative was announced Monday at the opening ceremony of a new Blockchain Industrial Park in Hangzhou - a Chinese city noted for its support for innovation and which plays host to major companies such as Alibaba.","regulation, exchange, government"
2018-05,$1 Billion Blockchain Fund Launches with Chinese Government Backing,https://web.archive.org/web/20180513182452/https://www.coindesk.com/1-billion-blockchain-fund-launches-with-chinese-government-backing/amp/,"A new Chinese blockchain fund has $1.6 billion available to invest in innovative startups - 30 percent of which is backed by a city government. Dubbed Xiong'An Global Blockchain Innovation Fund, the new initiative was announced Monday at the opening ceremony of a new Blockchain Industrial Park in Hangzhou - a Chinese city noted for its support for innovation and which plays host to major companies such as Alibaba.","regulation, exchange, government"
2019-08,$1 Billion Blockchain Fund Launches with Chinese Government Backing,https://web.archive.org/web/20190817171817/https://www.coindesk.com/1-billion-blockchain-fund-launches-with-chinese-government-backing?amp,"A new Chinese blockchain fund has $1.6 billion available to invest in innovative startups – 30 percent of which is backed by a city government. Dubbed Xiong’An Global Blockchain Innovation Fund, the new initiative was announced Monday at the opening ceremony of a new Blockchain Industrial Park in Hangzhou – a Chinese city noted for its support for innovation and which plays host to major companies such as Alibaba.","regulation, exchange, government"
2020-11,$1 Billion Blockchain Fund Launches with Chinese Government Backing,https://web.archive.org/web/20201109032849/https://www.coindesk.com/1-billion-blockchain-fund-launches-with-chinese-government-backing/?amp;utm_medium=social&amp;utm_source=twitter.com&amp;utm_campaign=buffer,"A new Chinese blockchain fund has $1.6 billion available to invest in innovative startups – 30 percent of which is backed by a city government. Dubbed Xiong’An Global Blockchain Innovation Fund, the new initiative was announced Monday at the opening ceremony of a new Blockchain Industrial Park in Hangzhou – a Chinese city noted for its support for innovation and which plays host to major companies such as Alibaba.","regulation, exchange, government"
