date,title,link,snippet,event_labels
2019-12-13,Bitcoin App Bottle Pay Shuts Down Over Impending EU Money-Laundering Laws,/web/20191231154441/https://www.coindesk.com/bitcoin-app-bottle-pay-shuts-down-over-impending-eu-money-laundering-laws,"Bottle Pay is shutting down, citing the EU's new AML rules, which could compel crypto wallet providers to collect KYC info from users starting next month.","regulation, exchange"
2019-12-12,Netherlands Plans to Punish Crypto Scammers With Up to 6 Years in Jail,/web/20191231154441/https://www.coindesk.com/netherlands-plans-to-punish-crypto-scammers-with-up-to-6-years-in-jail,The Dutch government is about to get tougher with fraudulent schemes involving banking apps and cryptocurrencies.,regulation
2019-12-11,"SEC Taking ‘Measured’ Approach to Digital Asset Regulation, Jay Clayton Tells Senate Committee",/web/20191231154441/https://www.coindesk.com/sec-taking-measured-approach-to-digital-asset-regulation-jay-clayton-tells-senate-committee,"The chairman of the U.S. Securities and Exchange Commission, Jay Clayton, says his agency is taking a ""measured"" regulatory stance on ""promising"" blockchain tech.",regulation
2019-12-11,China’s SEC May Soon Have a Crypto-Savvy Department Chief: Report,/web/20191231154441/https://www.coindesk.com/chinas-sec-may-soon-have-a-crypto-savvy-department-chief-report,"China's securities watchdog is reported to be hiring Yao Qian, the former head of the central bank's digital currency initiative, as the chief of its new tech regulation bureau.",regulation
2019-12-10,FinCEN Sees Jump in Crypto-Related Suspicious Activity Reports,/web/20191231154441/https://www.coindesk.com/fincen-sees-jump-in-crypto-related-suspicious-activity-reports,"Crypto companies have filed 7,100 Suspicious Activity Reports since May, America’s anti-money-laundering chief said at a banking conference Tuesday.","regulation, conference, adoption, price"
2019-12-06,"Mnuchin ‘Fine’ With Libra Launch, But Crypto Project Must ‘Fully’ Comply With AML Rules",/web/20191231154441/https://www.coindesk.com/mnuchin-fine-with-libra-launch-but-crypto-project-must-fully-comply-with-aml-rules,"Steven Mnuchin, secretary of the U.S. Treasury, has no issue with the launch of the Facebook-led Libra project – as long as financial rules are followed to the letter.","regulation, exchange"
2019-12-05,"Top US Financial Regulators Urge Monitoring of Digital Assets, Stablecoins",/web/20191231154441/https://www.coindesk.com/top-us-financial-regulators-urge-monitoring-of-digital-assets-stablecoins,A panel of top U.S. financial regulators urged federal and state officials to monitor risks from digital assets like bitcoin.,conference
2019-12-03,The SEC Has a New Chief Crypto Cop,/web/20191231154441/https://www.coindesk.com/the-sec-has-a-new-chief-crypto-cop,The U.S. Securities and Exchange Commission has appointed a new head of the cyber unit that tackles crypto firms breaking the law.,regulation
2019-12-02,Sri Lanka’s Central Bank Calls for Blockchain-Based KYC Proposals,/web/20191231154441/https://www.coindesk.com/sri-lankas-central-bank-calls-for-blockchain-based-kyc-proposals,"Sri Lanka's Central Bank wants to use a blockchain system for local banks' ""know-your-customer"" protocols.",regulation
2020-01-09,New York Governor Proposes Giving Financial Watchdog More Teeth,/web/20200112060319/https://www.coindesk.com/new-york-governor-proposes-giving-financial-watchdog-more-teeth,"Andrew Cuomo wants to give the Department of Financial Services more powers in regulating certain licensed entities, including crypto startups.",adoption
